Price,Close,High,Low,Open,Volume
Ticker,MNDI.L,MNDI.L,MNDI.L,MNDI.L,MNDI.L
Date,,,,,
2023-03-22,1438.378173828125,1445.526102367919,1422.432776003272,1443.8765616226542,1025227
2023-03-23,1430.6802978515625,1445.1135652084768,1413.6353696222072,1438.9278791983706,1822652
2023-03-24,1417.4842529296875,1429.5806814755595,1394.3910489721995,1426.8314876226555,793821
2023-03-27,1424.082275390625,1432.3298568428943,1413.0855001209327,1432.3298568428943,1343570
2023-03-28,1440.0277099609375,1450.4745979232691,1427.9311592240945,1435.6289753324972,1354563
2023-03-29,1434.529296875,1442.2269908130645,1420.7833276752222,1437.2784907149555,904832
2023-03-30,1411.43603515625,1416.9344230861202,1387.7930646854347,1392.1916774017043,1038497
2023-03-31,1409.78662109375,1415.834774616003,1398.7898451974352,1414.185233824649,2070528
2023-04-03,1418.5838623046875,1424.0822498408859,1405.387781031621,1418.5838623046875,1376271
2023-04-04,1418.5838623046875,1440.5774124494815,1416.934321636923,1429.0308718441793,1664206
2023-04-05,1394.39111328125,1422.4328186534322,1385.5936437324083,1422.4328186534322,1695054
2023-04-06,1417.4842529296875,1417.4842529296875,1394.3910489721995,1403.1883960807754,1027929
2023-04-11,1432.8797607421875,1444.4263016861755,1423.5325260633797,1433.9794138747777,1745432
2023-04-12,1432.329833984375,1438.3781090999921,1421.8829464586995,1430.1305277793458,1103041
2023-04-13,1426.28173828125,1442.7769015861272,1417.4842690381702,1435.6289730804413,1206275
2023-04-14,1421.3331298828125,1441.127374854855,1418.5839359719473,1436.1787525945788,982918
2023-04-17,1440.0277099609375,1444.4263225548477,1426.2817405186431,1431.7801282955609,1209363
2023-04-18,1425.7318115234375,1441.677086799631,1422.4327301392811,1438.378127450001,921067
2023-04-19,1439.477783203125,1446.6257115255382,1416.934345117328,1435.0790486943688,1085824
2023-04-20,1408.686767578125,1431.7800933044277,1383.3942576431425,1431.7800933044277,2303341
2023-04-21,1408.686767578125,1413.63538967713,1392.1916046504955,1410.8861958558584,1208610
2023-04-24,1409.2366943359375,1414.3106460351019,1397.1402655929417,1408.6868067425844,979447
2023-04-25,1384.493896484375,1407.0373344000882,1383.394243374114,1405.387793717434,988845
2023-04-26,1383.394287109375,1387.24313413423,1360.3010829257148,1385.5935933994265,1177695
2023-04-27,1365.7994384765625,1393.2913766265297,1364.149897780659,1383.9440200279196,1081266
2023-04-28,1391.0919189453125,1391.6418065104974,1369.0983688902952,1369.0983688902952,3857212
2023-05-02,1390.542236328125,1405.3878590935526,1386.6932672113765,1392.1916550529816,1514742
2023-05-03,1390.542236328125,1402.63866517275,1386.6932672113765,1396.5903897331718,1166700
2023-05-04,1386.6932373046875,1403.1884004737533,1364.149920861015,1367.448880274111,2175658
2023-05-05,1409.78662109375,1412.5358150678287,1389.9923756665698,1392.1916820320193,1120539
2023-05-09,1413.6353759765625,1429.5806511715896,1405.9375601308911,1423.5324980441253,1792890
2023-05-10,1413.6353759765625,1416.9343353093996,1398.789753892481,1416.3845697711897,1729301
2023-05-11,1427.93115234375,1429.0309275214581,1410.8862235381523,1411.9858766813313,2232141
2023-05-12,1408.686767578125,1430.6803181482976,1402.0887268139786,1429.0308994831562,1385412
2023-05-15,1426.28173828125,1438.927932520699,1411.4359936792366,1419.6835753316752,1019747
2023-05-16,1431.230224609375,1459.8218163209187,1417.484255321659,1420.7833367645221,1524185
2023-05-17,1393.8411865234375,1433.4295543122605,1390.5422270611782,1427.9311665072983,1116932
2023-05-18,1404.2882080078125,1420.7833715570093,1400.4392388853746,1408.6868206599731,788538
2023-05-19,1413.6353759765625,1420.783304249498,1408.136988387308,1408.136988387308,922230
2023-05-22,1418.5838623046875,1422.4327091731216,1410.3362810003898,1418.5838623046875,1104376
